coord_coordinates,mag
"114.2750633,30.64403765",245
"114.1871335,30.59401033",349
"114.1869091,30.54513702",
"114.1426957,30.69730821",
"114.5524506,30.69938889",
"114.2853903,30.58828396",168
"114.2985759,30.58691734",163
"114.3046057,30.59962391",101
"114.3094728,30.60561273",156
"114.2805298,30.59632717",246
"114.29202,30.59561106",133
"114.2918481,30.60956977",134
"114.3102569,30.61882677",327
"114.3181426,30.63034674",58
"114.3351893,30.66112495",108
"114.2750359,30.59844115",165
"114.2797557,30.61950903",332
"114.3697507,30.68301198",47
"114.2974628,30.65677082",538
"114.3090256,30.64989569",209
"114.2841668,30.56966227",86
"114.2792265,30.58008452",88
"114.2873601,30.57908124",76
"114.2866849,30.57415088",142
"114.2777843,30.57231577",70
"114.2743652,30.57828989",209
"114.2727339,30.58670753",186
"114.2468001,30.59083976",288
"114.2670398,30.61339384",578
"114.2633511,30.59922099",114
"114.2511424,30.61061129",249
"114.2459549,30.62618244",694
"114.171856,30.61169171",97
"114.2091589,30.59037284",287
"114.2259097,30.59783645",214
"114.2377039,30.5774128",301
"114.2523448,30.57747816",431
"114.2562515,30.57320846",295
"114.2520694,30.56829015",390
"114.267451,30.56787519",461
"114.270382,30.57370454",225
"114.2070786,30.61283657",374
"114.2552441,30.54823309",
"114.2696506,30.55072429",266
"114.2411141,30.56409538",
"114.2741448,30.56013107",105
"114.265088,30.53482136",346
"114.2531603,30.51846654",102
"114.2355067,30.55108996",537
"114.2139695,30.55782948",358
"114.2064997,30.57370172",243
"114.1563936,30.56616437",221
"114.2289941,30.52134433",445
"114.2027314,30.52339616",176
"114.3025593,30.56684637",252
"114.3391908,30.6028746",420
"114.3227295,30.58640087",546
"114.309736,30.5493755",214
"114.2916254,30.55281738",129
"114.2887468,30.54248911",282
"114.2930628,30.5295333",219
"114.2867127,30.51944862",332
"114.3093764,30.53311303",238
"114.3267786,30.53587799",837
"114.33572,30.57091199",759
"114.358238,30.5367013",79
"114.3465531,30.55666537",2
"114.3101531,30.50670098",249
"114.3806073,30.55979805",
"114.3577948,30.6302213",371
"114.3951932,30.6272956",182
"114.3873661,30.63954113",78
"114.3977304,30.65108716",86
"114.425329,30.63696775",94
"114.4309586,30.6582239",53
"114.4356996,30.60027532",14
"114.486332,30.59357026",68
"114.4679099,30.61158619",47
"114.3826723,30.6226656",309
"114.3834498,30.60741026",171
"114.4336875,30.62897126",
"114.5394488,30.60838969",
"114.3567503,30.51329031",288
"114.4100007,30.50529504",361
"114.2999795,30.47861465",177
"114.2803937,30.4952773",257
"114.3454151,30.49552984",334
"114.3454151,30.49552984",334
"114.3971585,30.47857573",487
"114.4181065,30.5554061",267
"114.5129831,30.54633705",50
"114.5931647,30.51843853",73
"114.227674,30.43602479",76
"114.4913572,30.65560374",
"114.4154478,30.67371449",7
"114.4803639,30.50755005",59
"114.5278607,30.57025181",
"114.1354986,30.62782148",227
"114.1158811,30.72749969",13
"114.2603514,30.66512961",245
"114.0852222,30.60180651",13
"114.022633,30.65164777",17
"114.1236252,30.65861559",171
"114.0884222,30.62498131",38
"113.9583517,30.747481",10
"114.0409101,30.75291701",10
"114.2373084,30.64090081",194
"113.9720829,30.70224296",23
"114.1918973,30.65192918",355
"114.0541657,30.28495177",90
"113.9256755,30.28773868",2
"113.9826606,30.33934357",26
"113.811255,30.24041202",6
"114.0183433,30.55083024",342
"113.9953477,30.42744823",49
"113.920287,30.44224293",42
"113.799535,30.42983186",29
"114.0589604,30.49147672",45
"113.9614619,30.60422201",27
"114.1522392,30.47588753",217
"114.1029087,30.39521691",27
"113.8790094,30.51864046",12
"113.9571158,30.51321241",11
"113.8308852,30.19808059",3
"113.8308852,30.19808059",3
"113.9555726,30.37794127",9
"113.8505487,30.38397636",
"114.0473728,30.42652994",
"114.0918182,30.55203847",
"114.059035,30.57841164",
"114.3252691,30.31875571",172
"114.1594229,30.32453656",16
"114.3630023,30.2123479",14
"114.2456739,30.28456616",17
"114.5075679,30.39793576",
"114.4049312,30.30976204",4
"114.1269658,30.23268082",1
"114.5491399,30.465471",34
"114.4895741,30.31622141",12
"114.172352,30.15906267",3
"114.2557626,30.13886314",3
"114.4686647,30.02920556",1
"114.3425695,30.08052342",11
"114.496489,30.11913457",0
"114.3572084,30.39218269",27
"114.3998776,30.39579946",44
"114.2948567,30.4070884",55
"114.4917879,30.24187242",0
"114.3790025,30.87261907",225
"114.2226929,30.9082352",54
"114.2850792,30.81100455",24
"114.3276297,31.00255621",18
"114.3360537,30.7479957",42
"114.5169541,30.85810002",34
"114.2101445,30.793768",13
"114.4395212,30.98822298",16
"114.3379,31.15286032",14
"114.2313123,31.08364162",15
"114.3744199,31.26224304",20
"114.5372162,30.95578419",16
"114.4337232,30.72033667",38
"114.4388975,30.76617573",11
"114.2549829,31.27763106",4
"114.4546581,31.11698382",11
"114.4025053,30.80420316",
"114.2430004,30.71610304",259
"114.7932113,30.82953666",80
"114.6009268,30.70175529",122
"114.597695,30.82724574",30
"114.6952371,30.78572185",23
"114.2313123,31.08364162",15
"114.8345617,30.92478306",23
"114.9177041,30.9804191",2
"114.9310548,30.84833578",15
"114.6893684,30.61466365",15
"114.8156533,30.77206552",16
"114.9954029,30.91339213",6
"114.7349649,30.94453478",8
"114.9891254,30.87751315",1
"114.7284873,30.68291017",5
